condition,target_pressure,seed,policy,const_ttl_s,arrival_mode,concurrency,rate_per_s,pool_blocks,pause_median_s,n_sessions,token_hit_rate,prefill_tokens_computed,prompt_tokens_total,ttft_p50,ttft_p95,e2e_p50,e2e_p95,queue_p95,makespan_s,gpu_busy_s,gpu_busy_frac,n_preemptions,n_evictions,n_protected_evictions,mean_live_sessions,mean_context_blocks,pressure_measured,pressure_offered,rm_total,rm_per_1k_calls,n_calls
vary_pool,1.6,5,lru,0.0,closed,16,0.5,10788,2.0,200,0.16486018693037183,61022137,73068169,8.97361417449838,18.909142690523367,20.34937883031739,43.048760291701,15.922780706660433,6374.174150435138,6368.33616604538,0.9990841190949641,104,3850207,0,15.609559935773515,1112.448217726397,1.6096428559551925,1.649904661069925,5.418048027869867,1.304924862203725,4152
vary_pool,1.6,6,lru,0.0,closed,16,0.5,10788,2.0,200,0.2024252874135564,56381488,70691168,6.958572914179797,17.545577425118154,17.66958453680266,40.055525053828205,14.368237315934948,6051.571071780706,6030.257287252613,0.9964779750125581,107,3559309,0,15.65126277825164,1072.1007194244605,1.5554069414594793,1.5900640999992,5.1438354110136,1.2335336717058993,4170
vary_pool,1.6,4,belady,0.0,closed,16,0.5,10788,2.0,200,0.24384667260741472,56941104,75303648,7.5575471159277186,17.35623622089952,17.302014203758972,39.61204998827259,14.592781332800769,6219.034060444616,6169.058746774026,0.9919641357186879,74,3388656,0,15.633825936367668,1126.685768411082,1.6327780115240556,1.6710207911176598,5.286178951377924,1.25175916442764,4223
vary_pool,1.6,5,oracle_terminal,0.0,closed,16,0.5,10788,2.0,200,0.14891168273287372,62187465,73068169,9.075215224327849,18.741108127075677,20.539300195648067,42.582629127160544,15.860747331507355,6502.024605635566,6494.562092517966,0.9988522785485721,128,3917061,0,15.591181241806565,1112.448217726397,1.6077476626526643,1.649904661069925,5.526720914790231,1.3310984862211541,4152
vary_pool,1.6,6,oracle_terminal,0.0,closed,16,0.5,10788,2.0,200,0.19064672973008454,57214128,70691168,6.894923038543766,18.43533866133339,17.92605683117131,40.698261236597034,15.162851080676091,6131.619845935073,6117.732840924045,0.9977351816714088,172,3605832,0,15.689126131706692,1072.1007194244605,1.5591697638991329,1.5900640999992,5.211876869044812,1.249850568116262,4170
vary_pool,1.6,5,belady,0.0,closed,16,0.5,10788,2.0,200,0.1656636010682025,60963433,73068169,9.195905746709741,18.894973248741735,20.46401099852551,42.50308592320289,15.801036571998793,6398.000179270457,6387.12165858459,0.9982996998466624,126,3648791,0,15.613300104838702,1112.448217726397,1.6100285386035575,1.649904661069925,5.438300152379888,1.3098025415173142,4152
vary_pool,1.6,6,belady,0.0,closed,16,0.5,10788,2.0,200,0.21958341387144714,55168560,70691168,6.82419611712794,18.748417490487327,16.806079200803424,40.24790283020275,15.844843753714713,5943.876557662475,5927.764688639456,0.9972893331705807,120,3287068,0,15.665117742692015,1072.1007194244605,1.5567838340571925,1.5900640999992,5.052295074013104,1.211581552521128,4170
vary_pool,1.6,7,lru,0.0,closed,16,0.5,10788,2.0,200,0.15193212932501168,62931883,74206187,8.16030309171606,20.05353167156761,19.954097995588654,41.9290463391676,16.96699962178627,6606.7027258438775,6602.805071888061,0.9994100455071833,129,3969715,0,15.678295679190661,1111.9540066382172,1.6160125785812667,1.649171682073737,5.615697316967296,1.3313649400112129,4218
vary_pool,1.6,7,oracle_terminal,0.0,closed,16,0.5,10788,2.0,200,0.17206500584648016,61437899,74206187,8.314685893318256,20.255316790826328,19.504812466019132,42.63792554245583,17.371399624748392,6511.90351226236,6502.5172029006035,0.9985585920700327,133,3863621,0,15.719056917612185,1111.9540066382172,1.620213971089456,1.649171682073737,5.535117985423006,1.3122612578053594,4218
vary_pool,1.6,8,lru,0.0,closed,16,0.5,10788,2.0,200,0.3137011438232769,53892864,78526816,3.6037559258882084,17.243575735142713,11.845590436907742,36.807972380338924,14.379648196780181,6505.823220487488,6265.6809703240215,0.9630881070658001,61,3405792,0,15.273749696244913,1157.0254197761194,1.6381272389556125,1.7160184201351418,5.5299497374143645,1.2896338007029768,4288
