loop,seed,policy,const_ttl_s,arrival_mode,concurrency,rate_per_s,pool_blocks,pause_median_s,n_sessions,token_hit_rate,prefill_tokens_computed,prompt_tokens_total,ttft_p50,ttft_p95,e2e_p50,e2e_p95,queue_p95,makespan_s,gpu_busy_s,gpu_busy_frac,n_preemptions,n_evictions,n_protected_evictions,mean_live_sessions,mean_context_blocks,pressure_measured,pressure_offered,rm_total,rm_per_1k_calls,rm_gputime_total,rm_gputime_per_1k_calls,n_calls
closed,8,oracle_terminal,0.0,closed,16,0.5,12868,5.0,200,0.6289891086377423,29134304,78526816,0.2925241176652662,13.34076519239261,4.022683333933401,38.063971599440265,8.09027467449232,9375.592924923169,7793.679595697619,0.8312732493941429,24,1831888,0,14.596009509975948,1157.0254197761194,1.3123992874056694,1.4386390050060547,7.969253986184693,1.8585013960318781,6.624627656342977,1.5449224944829703,4288
open_matched,7,belady,0.0,poisson,32,0.03427853184945713,12868,5.0,200,0.16792518931069722,61745099,74206187,86.09518268107945,181.95897029529897,114.90253152151718,213.77771551792284,178.51279181551763,9698.127529478521,9544.184181607277,0.9841264875716146,130,3857452,0,53.22951679497015,1111.9540066382172,4.599687167515024,,8.243408400056742,1.9543405405539929,8.112556554366186,1.923318291694212,4218
open_matched,8,lru,0.0,poisson,32,0.03427853184945713,12868,5.0,200,0.1487212724886235,66848208,78526816,73.36312964632407,198.72282096385607,104.11833242723901,223.07355181408093,194.1626159037478,11183.644152245934,10568.666451345274,0.9450109738356475,113,4214546,0,51.34995201154165,1157.0254197761194,4.617127741812058,,9.506097529409043,2.2169070730897955,8.983366483643483,2.0950015120437224,4288
closed,8,belady,0.0,closed,16,0.5,12868,5.0,200,0.7321053740419069,21036912,78526816,0.20612576080733902,9.743641339930718,3.4080475012751776,27.54048448575577,1.83693754612068,8495.691139387784,6969.506891967515,0.8203578470096962,5,1137126,0,14.752226247282733,1157.0254197761194,1.3264455056259397,1.4386390050060547,7.221337468479617,1.6840805663431944,5.924080858172388,1.3815487075961725,4288
closed,9,lru,0.0,closed,16,0.5,12868,5.0,200,0.5178290481923588,37318035,77395859,0.9861810404665903,19.331650451668793,7.434838381286681,46.65892311160587,13.790258036748128,8036.0767571978795,7782.076336311412,0.9683924844721076,28,2367841,0,15.593275008430023,1141.088194120392,1.382755829949647,1.418822746808072,6.830665243618197,1.5937156424680814,6.614764885864701,1.5433422505517267,4286
open_matched,8,oracle_terminal,0.0,poisson,32,0.03427853184945713,12868,5.0,200,0.15242405855345006,66557440,78526816,73.08633342673238,195.05780605505242,104.19218799317127,222.62260201459503,190.14166987134013,11199.274507751237,10529.729833640435,0.9402153529099231,104,4194547,0,50.99368746842699,1157.0254197761194,4.58509423757297,,9.519383331588552,2.2200054411353896,8.950270358594368,2.0872831992990597,4288
closed,9,oracle_terminal,0.0,closed,16,0.5,12868,5.0,200,0.5429057386649071,35377203,77395859,0.62204752692287,19.148101225826395,6.249004937040581,47.4994809354248,13.615950218776561,7897.225126887123,7563.872205227385,0.9577886008941552,4,2225326,0,15.548497354716503,1141.088194120392,1.378785107847307,1.418822746808072,6.7126413578540545,1.5661785715945065,6.429291374443278,1.500067982837909,4286
open_matched,9,lru,0.0,poisson,32,0.03427853184945713,12868,5.0,200,0.2620094700415432,57117411,77395859,74.6423771292682,203.92359449817923,92.93891728369772,230.54636168019988,199.61272773710698,10326.557024446374,9628.1395745356,0.9323668626186454,74,3606427,0,45.87015046638646,1141.088194120392,4.067600805076125,,8.777573470779418,2.047963945585492,8.18391863835526,1.9094537187016474,4286
open_matched,8,belady,0.0,poisson,32,0.03427853184945713,12868,5.0,200,0.1671013377137308,65404880,78526816,71.78856831000985,194.25176363368246,102.92768121687823,220.38725970959422,189.57684244040502,11099.246237624342,10477.482729037672,0.9439814654729427,128,4103948,0,50.11279053727363,1157.0254197761194,4.50588844478876,,9.434359301980692,2.2001770760216166,8.905860319682022,2.0769263805228597,4288
closed,9,belady,0.0,closed,16,0.5,12868,5.0,200,0.6273559416143957,28841107,77395859,0.33562864484520105,20.3768010733952,4.790188489421894,45.52301305812398,14.744462699254655,7283.920511192609,6942.147775790008,0.9530784644234617,28,1616364,0,15.55228069408278,1141.088194120392,1.3791206008442927,1.418822746808072,6.191332434513718,1.4445479315244327,5.900825609421507,1.3767675243633941,4286
