condition,target_pressure,seed,policy,const_ttl_s,arrival_mode,concurrency,rate_per_s,pool_blocks,pause_median_s,n_sessions,token_hit_rate,prefill_tokens_computed,prompt_tokens_total,ttft_p50,ttft_p95,e2e_p50,e2e_p95,queue_p95,makespan_s,gpu_busy_s,gpu_busy_frac,n_preemptions,n_evictions,n_protected_evictions,mean_live_sessions,mean_context_blocks,pressure_measured,pressure_offered,rm_total,rm_per_1k_calls,rm_gputime_total,rm_gputime_per_1k_calls,n_calls
vary_concurrency,1.15,6,oracle_terminal,0.0,closed,17,0.5,16000,2.0,200,0.5737259851188199,30133808,70691168,0.44233469707506856,20.124402415076474,9.230346119149317,59.4165951782652,14.15866411366892,5514.829998103429,5504.715278570823,0.9981659054701443,36,1887079,0,16.651136841542787,1072.1007194244605,1.1157309866908227,1.1391070143884892,4.6876054983879145,1.124126018798061,4.6790079867852,1.122064265416115,4170
vary_concurrency,1.15,7,lru,0.0,closed,17,0.5,16000,2.0,200,0.4847673415695109,38233451,74206187,1.2274867342711104,24.34457415575855,13.229759608705535,68.73431270766395,19.357338160220536,6516.020456651592,6510.592005599338,0.9991669069966298,41,2420776,0,16.706064439986726,1111.9540066382172,1.1610234555749679,1.1814511320531058,5.538617388153853,1.3130908933508423,5.534003204759438,1.3119969665148028,4218
vary_concurrency,1.15,5,belady,0.0,closed,17,0.5,16000,2.0,200,0.4533099495075619,39945641,73068169,2.357076526232504,20.006941258676306,17.345561100566556,66.38910717330873,15.338839664389525,6646.396933070424,6637.24524865992,0.9986230608098401,30,2256418,0,16.679643847159074,1112.448217726397,1.1597025043801985,1.1819762313342967,5.649437393109861,1.3606544781093115,5.641658461360932,1.358780939634136,4152
vary_concurrency,1.15,6,belady,0.0,closed,17,0.5,16000,2.0,200,0.6224150660518157,26691920,70691168,0.3467571383491759,18.544903596513905,7.927820191680041,54.82435595492984,13.326461208639557,5096.960671886138,5085.720071061891,0.9977946463494906,21,1515321,0,16.578797512325476,1072.1007194244605,1.1108837962597875,1.1391070143884892,4.3324165711032165,1.0389488180103637,4.322862060402607,1.0366575684418722,4170
vary_concurrency,1.15,7,oracle_terminal,0.0,closed,17,0.5,16000,2.0,200,0.5096071032459868,36390187,74206187,0.83651859032625,25.778361336201726,11.486886782407282,67.17108719592125,20.278637110063528,6301.386016317322,6298.151437698036,0.9994866877523595,22,2282905,0,16.720058360828226,1111.9540066382172,1.1619959928467354,1.1814511320531058,5.356178113869724,1.269838338992348,5.35342872204333,1.2691865154204198,4218
vary_concurrency,1.15,7,belady,0.0,closed,17,0.5,16000,2.0,200,0.49678639329628943,37341563,74206187,0.9933933057966442,23.7026066353003,12.747681121380424,67.60947174404009,19.221069024178632,6450.037900861151,6443.234344357636,0.9989451912363791,54,2124828,0,16.682564100396778,1111.9540066382172,1.1593902495271928,1.1814511320531058,5.482532215731978,1.299794266413461,5.47674919270399,1.298423232030344,4218
vary_concurrency,1.15,8,lru,0.0,closed,17,0.5,16000,2.0,200,0.5225221407168731,37494816,78526816,0.7210084016966789,21.446230574153788,8.262000674566934,64.60619326999313,16.222810864721396,7304.160334736308,7144.127160893352,0.9780901340456769,51,2372840,0,16.29826322120304,1157.0254197761194,1.1785940528208834,1.229339508512127,6.208536284525861,1.4478862603838296,6.072508086759349,1.4161632665017139,4288
vary_concurrency,1.15,8,oracle_terminal,0.0,closed,17,0.5,16000,2.0,200,0.5567178478241115,34809536,78526816,0.5001132308659919,21.460144127767308,6.944839396518773,62.58215672838401,16.703789901183427,7042.011038088294,6859.718060547421,0.9741135058501186,30,2186476,0,16.31147829443565,1157.0254197761194,1.1795496887992791,1.229339508512127,5.985709382375051,1.3959210313374653,5.830760351465308,1.3597855297260513,4288
vary_concurrency,1.15,9,lru,0.0,closed,17,0.5,16000,2.0,200,0.4930014666546953,39239587,77395859,1.4400039618710707,20.32198319606141,12.903266132515,63.59487423707651,14.856556952538995,6897.757330868066,6863.6098679218485,0.9950494832873571,29,2483779,0,16.65829991654556,1141.088194120392,1.188036835555428,1.2124062062529164,5.863093731237856,1.3679640063550762,5.834068387733572,1.3611918776793215,4286
vary_concurrency,1.15,8,belady,0.0,closed,17,0.5,16000,2.0,200,0.6167328113749067,30096752,78526816,0.3498329124200552,20.29270626316702,5.796025205992919,60.55724744115196,15.30990243932456,6492.403206359474,6291.110931487389,0.9689957218499747,16,1749260,0,16.248952514958674,1157.0254197761194,1.1750281940338931,1.229339508512127,5.518542725405553,1.2869735833501754,5.347444291764281,1.247071896400252,4288
vary_pool,1.15,0,lru,0.0,closed,16,0.5,15009,2.0,200,0.4507815444555658,40216913,73225713,1.7442846305466493,19.819958281013896,14.244120740792368,61.98918144445747,15.19149545815469,6673.549837578045,6656.452466162021,0.997438039449447,39,2547022,0,15.739023880670423,1078.8021901211557,1.131274131043802,1.1500323167391893,5.672517361941338,1.321648965969557,5.657984596237718,1.3182629534570638,4292
vary_concurrency,1.15,9,oracle_terminal,0.0,closed,17,0.5,16000,2.0,200,0.49720965045429627,38913891,77395859,1.354371648543065,20.694462257583837,12.540566146596689,64.40342730941211,15.944742738678997,6877.788745410396,6854.513457667361,0.9966158763223766,37,2438927,0,16.696879544779698,1141.088194120392,1.1907882579498987,1.2124062062529164,5.846120433598837,1.3640038342507785,5.826336439017257,1.3593878765789214,4286
vary_pool,1.15,0,oracle_terminal,0.0,closed,16,0.5,15009,2.0,200,0.49349288002153013,37089345,73225713,0.7610541540072973,20.87371806351075,11.064135248416846,61.272169851366925,16.47326159291606,6285.322877623266,6271.226969428637,0.9977573295009532,42,2323740,0,15.732007505656401,1078.8021901211557,1.1307698149180216,1.1500323167391893,5.342524445979777,1.2447633844314483,5.330542924014341,1.2419717903108902,4292
vary_pool,1.15,1,lru,0.0,closed,16,0.5,15009,2.0,200,0.48923355973033356,37487234,73394082,1.316356969796061,19.9509416597715,12.542818883970767,59.584784466544306,15.064824554114239,6527.994362229247,6448.272845478668,0.9877877473038512,39,2374161,0,15.58800243971836,1107.7000955109838,1.150431860303916,1.180838265585698,5.54879520789486,1.324927222515487,5.481031918656868,1.3087468764701213,4188
vary_concurrency,1.15,9,belady,0.0,closed,17,0.5,16000,2.0,200,0.5635001221447778,33783283,77395859,0.634067230912251,20.913807878939906,9.130133624904602,62.52713487528763,15.97448768525419,6359.867260311928,6342.898387670346,0.9973318825775698,41,1923518,0,16.66855838146893,1141.088194120392,1.188768448881294,1.2124062062529164,5.405887171265138,1.2612895873227108,5.391463629519794,1.2579243186000453,4286
vary_pool,1.15,0,belady,0.0,closed,16,0.5,15009,2.0,200,0.500485614936928,36577297,73225713,0.6950469234866432,19.967787805268927,10.793723447083607,61.61797390206948,15.279511597977034,6317.852105352503,6299.364122136562,0.9970736916743782,48,2111672,0,15.699047500594522,1078.8021901211557,1.128400747981706,1.1500323167391893,5.370174289549627,1.251205566064685,5.354459503816078,1.2475441527996456,4292
