termination_signal_strength,seed,policy,const_ttl_s,arrival_mode,concurrency,rate_per_s,pool_blocks,pause_median_s,n_sessions,token_hit_rate,prefill_tokens_computed,prompt_tokens_total,ttft_p50,ttft_p95,e2e_p50,e2e_p95,queue_p95,makespan_s,gpu_busy_s,gpu_busy_frac,n_preemptions,n_evictions,n_protected_evictions,mean_live_sessions,mean_context_blocks,pressure_measured,pressure_offered,rm_total,rm_per_1k_calls,rm_gputime_total,rm_gputime_per_1k_calls,n_calls
0.0,5,lru,0.0,closed,10,0.5,12868,2.0,200,0.8386553110424869,11789161,73068169,0.14819787193550837,4.953356664894272,3.465600515486983,16.357962100481927,0.7607018717951632,4416.314151226612,4354.547258431173,0.9860139268447912,4,771468,0,9.79201430732282,1112.448217726397,0.8465269555589563,0.8645074741423663,3.7538670285426203,0.9041105560073749,3.701365169666497,0.8914655996306592,4152
0.0,4,belady,0.0,closed,10,0.5,12868,2.0,200,0.8300179029839299,12800272,75303648,0.15369288693318595,6.889597053975081,3.5060774090359246,21.365333121429103,1.3072230942439091,4346.234436832779,4315.3143112518,0.9928857667412182,4,712460,0,9.823472567431777,1126.685768411082,0.8601155376206137,0.8755717814820345,3.694299271307862,0.874804468697102,3.66801716456403,0.8685809056509661,4223
0.0,4,belady_pause,0.0,closed,10,0.5,12868,2.0,200,0.8278776613850102,12961440,75303648,0.1544348300449201,6.947759144880365,3.5309092702982525,22.91743686817631,1.534105457916212,4376.44881296577,4343.988727507305,0.9925830080858485,20,779595,0,9.825371941045395,1126.685768411082,0.8602818414144713,0.8755717814820345,3.7199814910209046,0.880885979403482,3.6923904183812093,0.874352455216957,4223
0.0,4,predict_terminal,0.0,closed,10,0.5,12868,2.0,200,0.7893951698063818,15859312,75303648,0.17114428759077782,9.1023223237612,3.7196534488239195,26.30279242915867,3.1160258005170363,4751.518241774126,4717.649010712413,0.9928719139150212,26,1015473,0,9.831393387209447,1126.685768411082,0.860809062248967,0.8755717814820345,4.038790505508007,0.9563794708756823,4.0100016591055505,0.949562315677374,4223
0.0,5,oracle_terminal,0.0,closed,10,0.5,12868,2.0,200,0.8749328863023789,9138425,73068169,0.1326877050313442,2.4730056944213175,3.188835619096835,13.804036397762502,0.539488874547942,4157.125163402531,4100.516263643284,0.9863826809311381,0,595925,0,9.77167301301222,1112.448217726397,0.8447684354624321,0.8645074741423663,3.5335563888921513,0.8510492266117897,3.4854388240967915,0.839460217749709,4152
0.0,5,belady,0.0,closed,10,0.5,12868,2.0,200,0.8633001327842224,9988409,73068169,0.1350877641225452,3.401022739628843,3.231601674296826,15.475509978680748,0.6383046598480178,4268.913327404067,4201.180293455968,0.9841334248898215,8,578402,0,9.723532012203743,1112.448217726397,0.8406066099612698,0.8645074741423663,3.6285763282934567,0.8739345684714491,3.571003249437573,0.8600682199994154,4152
0.0,4,predict,0.0,closed,10,0.5,12868,2.0,200,0.438113383298509,42312112,75303648,1.40490806171465,11.179481109344124,10.474215054332262,36.678256622169556,3.3863363061855125,7575.674997649509,7541.551693861642,0.9954956748014593,9,2184268,0,9.764939387022114,1126.685768411082,0.8549905375159039,0.8755717814820345,6.439323748002083,1.5248221046654233,6.410318939782395,1.517953810036087,4223
0.0,5,belady_pause,0.0,closed,10,0.5,12868,2.0,200,0.8730470856605151,9276217,73068169,0.13697039516506493,3.048794376380215,3.1923584829337415,13.297799984056155,0.7174761090086577,4161.393335619056,4088.331264026745,0.9824428825396188,0,575803,0,9.77017244153779,1112.448217726397,0.844638709936919,0.8645074741423663,3.537184335276198,0.8519230094595852,3.4750815744227332,0.8369656971153019,4152
0.0,5,predict_terminal,0.0,closed,10,0.5,12868,2.0,200,0.834280656464787,12108809,73068169,0.1464701173939602,5.686423535505355,3.5230161874364967,17.94612130274436,0.797300729595463,4480.771644038314,4426.925299575045,0.9879827965491365,0,788497,0,9.770261524855748,1112.448217726397,0.8446464112563387,0.8645074741423663,3.808655897432567,0.9173063336783639,3.762886504638788,0.9062828768397851,4152
0.0,4,predict_guarded,0.0,closed,10,0.5,12868,2.0,200,0.56336309231659,32880352,75303648,0.647953819203849,10.787882047508447,7.3522439241169195,32.64638724442307,3.541587336714656,6551.696221687421,6538.314853074416,0.9979575718775375,11,1886287,0,9.836457001629064,1126.685768411082,0.8612524180387792,0.8755717814820345,5.568941788434308,1.3187169757125994,5.557567625113253,1.3160235910758356,4223
0.0,5,predict,0.0,closed,10,0.5,12868,2.0,200,0.48346918341418954,37741961,73068169,0.8957553505121041,10.3855299582101,9.146972120133128,32.08991854862052,1.1131544622900975,7121.857402924448,7081.0611093845755,0.9942716778458495,0,1962388,0,9.806098122944924,1112.448217726397,0.8477445119459316,0.8645074741423663,6.053578792485781,1.4579910386526447,6.018901942976889,1.4496391962853779,4152
