signal,threshold,seed,policy,const_ttl_s,arrival_mode,concurrency,rate_per_s,pool_blocks,pause_median_s,n_sessions,token_hit_rate,prefill_tokens_computed,prompt_tokens_total,ttft_p50,ttft_p95,e2e_p50,e2e_p95,queue_p95,makespan_s,gpu_busy_s,gpu_busy_frac,n_preemptions,n_evictions,n_protected_evictions,mean_live_sessions,mean_context_blocks,pressure_measured,pressure_offered,rm_total,rm_per_1k_calls,rm_gputime_total,rm_gputime_per_1k_calls,n_calls
0.75,0.3,3,predict_terminal,0.0,closed,10,0.5,12868,2.0,200,0.8634986876944819,9227504,67600112,0.14515654964679925,3.404141731757818,2.959321263779657,11.728088524828763,0.6090565989879906,3581.372130368747,3502.657819747981,0.9780211863622613,9,597280,0,9.696980749482785,1044.7460239784682,0.7872926703930593,0.8118946409531149,3.044166310813435,0.7448412798662675,2.977259146785784,0.728470552186392,4087
0.75,-1.0,4,lru,0.0,closed,10,0.5,12868,2.0,200,0.8892816620801713,7990606,72170574,0.14651029469860077,1.6776782862862092,2.976380873802782,10.3676614899573,0.49219147800977225,3435.392123652887,3376.0506003759706,0.9827264192438626,0,528981,0,9.731183244015297,1079.5172903837044,0.8163646695528987,0.8389161411126084,2.920083305104954,0.6916350793711402,2.869643010319575,0.6796880649738454,4222
0.75,0.5,3,predict_terminal,0.0,closed,10,0.5,12868,2.0,200,0.880925167697947,8049472,67600112,0.13460194120170854,2.615894061326344,2.9016464726219056,10.06736802999285,0.5420577694987969,3433.1880369106525,3346.599899992947,0.9747790869632583,0,527342,0,9.695018017879622,1044.7460239784682,0.7871333172660354,0.8118946409531149,2.9182098313740545,0.7140224691397246,2.844609914994005,0.6960141705392722,4087
0.75,0.7,3,predict_terminal,0.0,closed,10,0.5,12868,2.0,200,0.8833582997613968,7884992,67600112,0.1340242307904873,2.154332465214452,2.8453476995850906,10.55852711247553,0.493980551246068,3420.7656146492486,3339.5644231213055,0.9762622755618791,5,518349,0,9.695101194867028,1044.7460239784682,0.787140070361068,0.8118946409531149,2.9076507724518614,0.7114388971010183,2.83862975965311,0.6945509566070736,4087
0.75,0.85,3,predict_terminal,0.0,closed,10,0.5,12868,2.0,200,0.8775512087908967,8277552,67600112,0.13783542593523634,2.644457100682871,2.8907827877831096,10.184240492969252,0.5444912368907353,3464.874663306522,3391.675043012574,0.9788738042766333,2,540508,0,9.699938605312616,1044.7460239784682,0.7875328171227544,0.8118946409531149,2.945143463810544,0.7206125431393551,2.882923786560688,0.7053887415122799,4087
0.75,-1.0,4,belady,0.0,closed,10,0.5,12868,2.0,200,0.907577650691818,6670174,72170574,0.13725337803441562,1.2581961884054635,2.9123802940063115,9.026576866173059,0.42812970132035844,3295.0504355167527,3234.3466134891723,0.9815772707533503,4,421849,0,9.714597803507852,1079.5172903837044,0.8149732901779828,0.8389161411126084,2.80079287018924,0.6633805945497964,2.7491946214657967,0.6511593134689239,4222
0.75,0.95,3,predict_terminal,0.0,closed,10,0.5,12868,2.0,200,0.8807225644833251,8063168,67600112,0.1373173247352497,2.441786968605811,2.8635449984212755,9.995058411809623,0.5424583942740355,3467.6586214155877,3367.9612713596766,0.9712493757487546,1,527262,0,9.624193872441241,1044.7460239784682,0.7813831428528849,0.8118946409531149,2.9475098282032497,0.7211915410333373,2.862767080655725,0.7004568340239111,4087
0.75,0.99,3,predict_terminal,0.0,closed,10,0.5,12868,2.0,200,0.8815788944255004,8005280,67600112,0.13441357472697746,2.1920996370772627,2.8609302965784593,10.030005903382062,0.49614610530943537,3443.1462192249537,3356.3708008754825,0.9747976377346518,11,527829,0,9.675996912701308,1044.7460239784682,0.7855890039301076,0.8118946409531149,2.926674286341211,0.7160935371522416,2.8529151807441604,0.6980462884130562,4087
0.75,-1.0,4,oracle_terminal,0.0,closed,10,0.5,12868,2.0,200,0.9064483261557543,6751678,72170574,0.1365057414468538,1.1982059512629348,2.9154785134815597,9.230762780876148,0.39229246467311896,3310.865659350416,3251.073294444816,0.9819405644754154,0,443354,0,9.696002283797066,1079.5172903837044,0.8134132820142073,0.8389161411126084,2.8142358104478538,0.6665646164016708,2.7634123002780937,0.6545268356887953,4222
0.75,0.5,4,predict_terminal,0.0,closed,10,0.5,12868,2.0,200,0.8839567217519982,8374910,72170574,0.14438548307174415,2.365789237176614,3.083009991386689,10.697550790566254,0.538102731705294,3486.590623638573,3421.1293584925547,0.9812248490825964,0,546525,0,9.721125070978127,1079.5172903837044,0.8155208731818002,0.8389161411126084,2.963602030092787,0.7019426883213613,2.9079599547186716,0.6887636084127597,4222
